concept,form
emerg,mareg
endeavor,nedav
equal,kewal
essential,senit
evolution,valet
evolv,valev
exact,kesak
excite,kesit
experienc,kesip
extra,kesat
extremeley,kesat
fact,fakat
fair,faral
fat,fatal
fearless,faral
feast,fesat
fertile,faret
fierceful,faris
figure,figar
fit,fital
float,folot
floppy,falap
flown,folon
fluffy,falaf
flute,falut
focus,fakas
fog,fogal
foothill,fosol
forget,farag
forgotten,farag
fortuitious,farat
freeze,farez
frost,faras
ful,falar
fur,fral
furry,faral
game,gamal
gander,ganad
gaz,gazal
gear,garal
generous,genar
gent,genat
george,gareg
giant,ginat
giv,gival
glass,galas
gloriou,galar
glow,golor
golden,galad
gotten,gatan
grace,garas
graceful,garas
grand,garan
grizz,gariz
groom,gorom
growth,gorok
guidance,gadan
hadn't,hadan
halfway,halaf
halt,halat
hang,hanag
harvest,harav
haven't,havan
heal,halar
health,halek
heat,het
herd,hared
hid,hidal
hil,halar
hind,hinad
honest,hanas
hopeful,hapaf
hug,hagal
illustrate,lisut
important,mipar
indoor,nidor
information,nifar
innocent,nisan
intelligent,nital
jean,dejan
job,dajab
joy,djal
joyous,dajas
juicy,dajak
king',kinag
kitchen,kitek
kite,kital
knock,kanak
laid,ladal
lawn,lanal
lazy,lazal
learn,laren
letter,letar
lid,lid
lifetime,lifet
lin,linal
listen,list
log,lagal
lonely,lanal
loud,ladal
lovely,laval
lower,lorol
lucky,lakal
mail,malar
majestic,madaj
mature,matar
meal,malar
mean,menal
meat,metal
melt,malet
member,memab
merry,maral
mighty,mital
mike,mikal
minut,minat
month,manak
moth,makal
mother,masar
mould,malad
mouse,mosol
mud,madal
munch,manat
musty,masat
narrow,naral
nearby,nareb
necessary,nesas
nectar,nekat
nibbl,nibal
noise,nosol
northern,naras
numerou,namar
o'clock,kalak
occur,karal
ones,nasal
outcome,tokom
outdoor,todor
pace,pasal
pack,pakal
park,parak
particular,parat
patient,patan
peck,pekal
peek,pekal
peel,palar
period,pared
petal,petal
phase,fasal
phone,fonol
picturesque,pikut
piec,pikal
pile,palar
pillow,polor
pin,pinal
pine,pinal
pink,pinak
pitch,pitak
planet,palan
player,palar
plenty,palen
pluck,palak
poem,pomol
polite,polot
pollution,palat
pot,patal
pour,paral
prefer,paref
probab,parab
promis,param
prune,parun
punctual,panak
purify,paraf
quack,kawak
queen,kewan
rainfall,ranaf
rang,ranag
rather,rasar
realiz,ralez
reason,res
reduce,redus
refresh,refar
refuse,refus
replac,repal
research,resar
reserve,resar
resist,resis
reveal,reval
ring,rinag
ripen,ripen
road,rodol
root,rot
rose,rosol
rot,ratal
routin,ratan
rug,ragal
sacred,sakar
safety,safat
sage,sagal
salmon,salam
sandy,sanad
satisfy,satas
sauna,sanal
saver,savar
scat,sakat
scenic,senik
school,sotok
scorpion,sakar
season,ses
seat,setal
second,sekan
shady,kasad
shall,kasal
shed,kesad
shift,kisaf
shiny,kisan
shirt,kisar
shiver,kisev
sho,kasal
shop,kasap
shoulder,kasal
single,sinag
sister,siset
situation,sitat
sketch,sekat
skip,sikap
sleepy,salep
slender,salen
slide,salid
slight,salit
slop,salap
slower,solor
smooth,somok
snak,sanak
snor,sanar
snowy,sonol
snug,sanag
soak,sokol
sock,sakal
sooth,sokol
sparkle,sapar
specimen,sepas
speck,sepak
spine,sipen
spiral,sipar
spot,sapat
spread,separ
sprinkle,sipar
stare,satar
stick,sitak
stir,sitar
stray,satar
stretch,setar
strong,star
stuff,sataf
subdivid,sabad
success,sakas
suck,sakal
sugar,sagar
sundown,sunod
support,sapar
sure,sarul
swum,sawam
tail,tal
talkative,talak
tantaliz,tanat
task,tasak
taste,tasat
team,temal
temperature,temap
tent,tenat
thankful,kanak
thick,sikal
thought,katal
throne,koron
tiny,tinal
tooth,tokol
tos,tasal
town,tonol
tranquil,taran
travers,tarav
treasure,tares
treat,taret
trek,tarek
trickle,tarik
tril,taral
trip,tarip
tru,taral
truth,tarak
tube,tubal
twice,tiwes
twig,tiwag
twinkl,tiwan
uncle,nakal
underbrush,nadar
unfold,nafal
unknown,nukon
unless,nalas
unravel,narav
unseen,nusen
unstable,nasat
upside,pusid
vast,vasat
wad,widal
wag,wigal
wak,wikal
wall,wolar
wavy,wival
we've,weval
weaker,wekar
wear,woral
weav,weval
weed,wedal
weep,wepal
weird,wored
what'd,witad
whenever,wenav
wide,wid
wiggle,wigal
wildflower,wolid
wise,wisal
wit,wital
witty,wital
wooden,wodon
wool,wolor
writ,worit
yes,yes
you've,yaval
zip,zipal
