tune,species,latin,literal
pinjoin loqlif,3,"Callicarpa longifolia","purple + bead | long + leaf"
pinjoin loqlif,3,"Callicarpa macrophylla","purple + bead | long + leaf"
caifriqkc wug,3,"Saussurea bella","wool + thistle | beautiful"
caifriqkc wug,3,"Saussurea pulchella","wool + thistle | beautiful"
caifriqkc wug,3,"Saussurea pulchra","wool + thistle | beautiful"
flasvaukmos bolcstok,2,"Fissidens crassipes","phoenix + tail + moss | coarse + stalk"
flasvaukmos bolcstok,2,"Fissidens hollianus","phoenix + tail + moss | coarse + stalk"
twistmos pux,2,"Barbula arcuata","twist + moss | curved"
twistmos pux,2,"Barbula inflexa","twist + moss | curved"
stonleskmos,2,"Barbula ehrenbergii","stone + ash + moss"
stonleskmos,2,"Barbula pseudo-ehrenbergii","like + stone + ash + moss"
hodnuthandfroxmos corn,2,"Mnium spinosum","hold in hand + lantern + moss | thorny"
hodnuthandfroxmos corn,2,"Mnium spinulosum","hold in hand + lantern + moss | thorny"
xolkmos bloC,2,"Pohlia cruda","bud + moss | bloody"
xolkmos bloC,2,"Pohlia crudoides","bud + moss | bloody"
grijtuc yul,2,"Entodon flavescens","enantiomeric + tooth | yellow"
grijtuc yul,2,"Entodon luridus","enantiomeric + tooth | yellow"
grijtuc wug,2,"Entodon pulchellus","enantiomeric + tooth | beautiful"
grijtuc wug,2,"Entodon sullivantii","enantiomeric + tooth | beautiful"
wupsbrantxlmos,2,"Homalia trichomanoides","flat + branch + moss"
wupsbrantxlmos,2,"Homaliadelphus targionianus","like + flat + branch + moss"
vetbrantxlmos,2,"Haplohymenium pseudo-triste","like + many + branch + moss"
vetbrantxlmos,2,"Haplohymenium sieboldii","many + branch + moss"
yexdaugCopmos yaiqk,2,"Apomarsupella crystallocaulon","class + coin + bag + moss | wart + stem"
yexdaugCopmos yaiqk,2,"Apomarsupella verrucosa","class + coin + bag + moss | warty"
fudrugbendot smol,2,"Chiloscyphus breviculus","forage + stooping | small"
fudrugbendot smol,2,"Chiloscyphus minor","forage + stooping | small"
zavcej loqlif,2,"Porella longifolia","pore + suffix | long + leaf"
zavcej loqlif,2,"Porella oblongifolia","pore + suffix | elongated + leaf"
tarb Contwum,2,"Cololejeunea kodamae","colonic | like + single + womb"
tarb Contwum,2,"Cololejeunea sigmoidea","colonic | single + womb"
pain bul,2,"Pinus nigra","pine | black"
pain bul,2,"Pinus thunbergii","pine | black"
cet modland,2,"Pseudotsuga sinensis","false | middle + land"
cet modland,2,"Pseudocydonia sinensis","false + Cydonia | middle + land"
hodnutmuclind talk,2,"Michelia concinna","hold in mouth + smile | elegant"
hodnutmuclind talk,2,"Michelia elegans","hold in mouth + smile | elegant"
hodnutmuclind yulfaj,2,"Michelia flaviflora","hold in mouth + smile | yellow + flower"
hodnutmuclind yulfaj,2,"Michelia xanthantha","hold in mouth + smile | yellow + flower"
splitsidmuc vetfaj,2,"Fissistigma polyanthum","split + stigma | many + flower"
splitsidmuc vetfaj,2,"Fissistigma polyanthoides","split + stigma | many + flower"
lambez loqfrut,2,"Endiandra dolichocarpa","lack + man | long + fruit"
lambez loqfrut,2,"Endiandra macrocarpa","lack + man | long + fruit"
cazbwod lif,2,"Litsea lancifolia","lemon + wood | Lancia + leaf"
cazbwod lif,2,"Litsea monopetala","lemon + wood | mono + leaf"
tut mej,2,"Machilus tenuipilis","battle | hair"
tut mej,2,"Machilus villosa","battle | hairy"
standfuzwod tidjfaj,2,"Phoebe neurantha","pillar + wood | nerve + flower"
standfuzwod tidjfaj,2,"Phoebe neuranthoides","pillar + wood | nerve + flower"
hishud xumlutlof,2,"Arisaema fargesii","snake + hood | sky + south + star"
hishud xumlutlof,2,"Arisaema wardii","snake + hood | sky + south + star"
laigdhud djatspam,2,"Pinellia browniana","whip + hood | fujian province"
laigdhud djatspam,2,"Pinellia fujianensis","whip + hood | fujian province"
yoChufbruz,2,"Zantedeschia aethiopica","horse + hoof + lotus"
yoChufbruz,2,"Exbucklandia populnea","horse + hoof + lotus"
cornvain raf,2,"Smilax aspera","sarsaparilla | rough"
cornvain raf,2,"Smilax aspericaulis","sarsaparilla | rough + stem"
cornvain djiv,2,"Smilax nana","sarsaparilla | dwarf"
cornvain djiv,2,"Smilax pygmaea","sarsaparilla | dwarf"
coftlif Calp,2,"Bulbophyllum apodum","bulb + leaf | swallow"
coftlif Calp,2,"Bulbophyllum hirundinis","bulb + leaf | swallow"
gretculkarnraiztwez,2,"Bulbophyllum didymotropis","like + great + country + curled + petal + orchid"
gretculkarnraiztwez,2,"Bulbophyllum thaiorum","great + country + curled + petal + orchid"
wiqktwez,2,"Campanulorchis thao","bell + orchid"
wiqktwez,2,"Convallaria keiskei","bell + orchid"
lodj xeCglip,2,"Crepidium ramosii","boot | heart + lips"
lodj xeCglip,2,"Crepidium cordilabium","boot | heart + lip"
fofltwez talk,2,"Cymbidium concinnum","boat + orchid | elegant"
fofltwez talk,2,"Cymbidium elegans","boat + orchid | elegant"
kuxniphis gras,2,"Eulophia graminea","maggot + snake | grassy"
kuxniphis gras,2,"Eulophia herbacea","maggot + snake | grassy"
jaikltwez wiq,2,"Gastrodia albida","bare + orchid | white"
jaikltwez wiq,2,"Gastrodia albidoides","bare + orchid | white"
jaikltwez slox,2,"Gastrodia gracilis","bare + orchid | slender"
jaikltwez slox,2,"Gastrodia exilis","bare + orchid | slender"
trecflasfaj credraiz,2,"Habenaria fordii","jade + phoenix + flower | thread + petal"
trecflasfaj credraiz,2,"Habenaria pantlingiana","jade + phoenix + flower | thread + petal"
trecflasfaj vetmej,2,"Habenaria myriotricha","jade + phoenix + flower | myriad + hair"
trecflasfaj vetmej,2,"Habenaria polytricha","jade + phoenix + flower | many + hair"
Copgliptwez,2,"Hylophila nipponica","bag + lips + orchid"
Copgliptwez,2,"Saccolabiopsis wulaokenensis","like + bag + lips + orchid"
woqtwez bul,2,"Liparis ferruginea","shine + orchid | black"
woqtwez bul,2,"Liparis nigra","shine + orchid | black"
woqtwez djiv,2,"Liparis pumila","shine + orchid | dwarf"
woqtwez djiv,2,"Liparis pygmaea","shine + orchid | dwarf"
rezgxlotsidxoiv xortnuC,2,"Luisia brachystachys","ornamental hairpin + seed + thighs | short + ear"
rezgxlotsidxoiv xortnuC,2,"Luisia brachyota","ornamental hairpin + seed + thighs | short + ear"
lonlav hol,2,"Oberonia integerrima","against + loving | whole"
lonlav hol,2,"Oberonia integrilabris","against + loving | whole"
tucgliptwez xortCauv,2,"Odontochilus brevistylis","tooth + lips + orchid | short + stake"
tucgliptwez xortCauv,2,"Odontochilus brevistylus","tooth + lips + orchid | short + stake"
vintgliptwez pux,2,"Platanthera arcuata","tongue + lips + orchid | curved"
vintgliptwez pux,2,"Platanthera curvata","tongue + lips + orchid | curved"
mejlof smol,2,"Pogonia minor","comet | small"
mejlof smol,2,"Typhonium parvum","comet | small"
gumlif modland,2,"Chrysosplenium chinense","gold + leaf | middle + land"
gumlif modland,2,"Chrysosplenium sinicum","gold + leaf | middle + land"
stonkrax xortzov,2,"Saxifraga brachypoda","stone-crushing | short + foot"
stonkrax xortzov,2,"Saxifraga brachypodoidea","stone-crushing | short + foot + resembling"
stonkrax korcum,2,"Saxifraga heteroclada","stone-crushing | other + shoot"
stonkrax korcum,2,"Saxifraga heterocladoides","stone-crushing | other + shoot + resembling"
stonkrax twaCnamsmolkoiksid,2,"Saxifraga nigroglandulifera","stone-crushing | nickname + acornlet + bearing"
stonkrax twaCnamsmolkoiksid,2,"Saxifraga nigroglandulosa","stone-crushing | nickname + acornlet"
kainpux klaudlut,2,"Sinocrassula yunnanensis","sinus | cloud + south"
kainpux klaudlut,2,"Sinosideroxylon yunnanense","sinus | cloud + south"
Codztubtok loqlif,2,"Leea macrophylla","fire + tube + tree | long + leaf"
Codztubtok loqlif,2,"Leea longifoliola","fire + tube + tree | long + leaf + Olaf"
vain mej,2,"Vitis heyneana","vine | hair"
vain mej,2,"Vitis pilosonervia","vine | hair + HD 49674"
nunlif spiklyeqtaq,2,"Zygophyllum fabago","union + leaf | speak + behave"
nunlif spiklyeqtaq,2,"Zygophyllum fabagoides","union + leaf | speak + behave"
saizhufsud kolf,2,"Bauhinia hirsuta","sheep + hoof + armor | bristly"
saizhufsud kolf,2,"Bauhinia tomentosa","sheep + hoof + armor | bristly"
goksgec modland,2,"Astragalus chinensis","vertebra | middle + land"
goksgec modland,2,"Astragalus sinicus","vertebra | middle + land"
goksgec preswup,2,"Astragalus compressus","vertebra | compressed"
goksgec preswup,2,"Astragalus strictus","vertebra | compressed"
goksgec giq,2,"Astragalus novissimus","vertebra | new"
goksgec giq,2,"Astragalus neomonodelphus","vertebra | new + mono + Delphian"
goksgec mix,2,"Astragalus macrolobus","vertebra | large"
goksgec mix,2,"Astragalus macropterus","vertebra | large"
goksgec pin,2,"Astragalus purpurinus","vertebra | purple"
goksgec pin,2,"Astragalus porphyreus","vertebra | purple"
goksgec smol,2,"Astragalus perbrevis","vertebra | small"
goksgec smol,2,"Astragalus zacharensis","vertebra | small"
yalksmuq modland,2,"Calophaca chinensis","timber + lentil | middle + land"
yalksmuq modland,2,"Calophaca sinica","timber + lentil | middle + land"
cornvofk bagpikt,2,"Caragana kozlowii","thorn + pea | blue + river"
cornvofk bagpikt,2,"Caragana qingheensis","thorn + pea | blue + river"
cornvofk djiv,2,"Caragana pumila","thorn + pea | dwarf"
cornvofk djiv,2,"Caragana pygmaea","thorn + pea | dwarf"
vitxwupsbin mej,2,"Dunbaria villosa","wild + flat + bean | hairy"
vitxwupsbin mej,2,"Dunbaria crinita","wild + flat + bean | hairy"
zintplant bagpikt,2,"Hedysarum jaxartucirdes","axeweed | like + blue + river"
zintplant bagpikt,2,"Hedysarum qinggilense","axeweed | blue + river"
zintplant kolf,2,"Hedysarum setigerum","axeweed | bristly"
zintplant kolf,2,"Hedysarum setosum","axeweed | bristle"
bagaix nestlif,2,"Indigofera acutipetala","blue + dye | sharpness + foil"
bagaix nestlif,2,"Indigofera zollingeriana","blue + dye | sharp + leaf"
bagaix famp,2,"Indigofera pendula","blue + dye | hanging"
bagaix famp,2,"Indigofera penduloides","blue + dye | hanging"
wimpsbax mej,2,"Lespedeza hispida","wire + bush | hairy"
wimpsbax mej,2,"Lespedeza pilosa","wire + bush | hairy"
nestfros nocfaj,2,"Oxytropis biflora","sharp + keel | two-flowered"
nestfros nocfaj,2,"Oxytropis dichroantha","sharp + keel | two + Christ + flower"
nestfros mej,2,"Oxytropis hirta","sharp + keel | hairy"
nestfros mej,2,"Oxytropis pilosa","sharp + keel | hairy"
nestfros caif,2,"Oxytropis lanata","sharp + keel | wooly"
nestfros caif,2,"Oxytropis lanuginosa","sharp + keel | woolly"
vetmidj lif,2,"Polygala monopetala","many + milk | mono + leaf"
vetmidj lif,2,"Polygala persicariifolia","many + milk | Perses + Caria + leaf"
Corm red,2,"Musa rubra","banana | red"
Corm red,2,"Musa rubinea","banana | red + pertaining"
grasfrut,2,"Amomum paratsaoko","like + grass + fruit"
grasfrut,2,"Amomum tsaoko","grass + fruit"
woiqgoC moq,2,"Zingiber orbiculatum","hot + root | rounded"
woiqgoC moq,2,"Zingiber teres","hot + root | rounded"
rax cix,2,"Juncus perparvus","rush | tiny"
rax cix,2,"Juncus perpusillus","rush | tiny"
dajgras bulram,2,"Carex atrofusca","edge + grass | black + dark"
dajgras bulram,2,"Carex atrofuscoides","edge + grass | black + dark + resembling"
dajgras grot,2,"Carex brownii","edge + grass | inlet"
dajgras grot,2,"Carex spachiana","edge + grass | inlet"
dajgras globtwes,2,"Carex foraminata","edge + grass | penetrate + opening"
dajgras globtwes,2,"Carex foraminatiformis","edge + grass | like + penetrate + opening"
dajgras loqleg,2,"Carex grallatoria","edge + grass | stilts"
dajgras loqleg,2,"Carex longipes","edge + grass | long-legged"
dajgras loqhim,2,"Carex heudesii","edge + grass | long + peaceful"
dajgras loqhim,2,"Carex yonganensis","edge + grass | long + peaceful"
dajgras kain,2,"Carex inanis","edge + grass | hollow"
dajgras kain,2,"Carex concava","edge + grass | hollow"
dajgras leCgimlik,2,"Carex indiciformis","edge + grass | pointer + shaped like"
dajgras leCgimlik,2,"Carex mucronatiformis","edge + grass | pointed + shaped like"
dajgras pant,2,"Carex leiorhyncha","edge + grass | Leah + snout"
dajgras pant,2,"Carex rhynchachaenium","edge + grass | snout + Achaean + n"
dajgras ram,2,"Carex obscura","edge + grass | dark"
dajgras ram,2,"Carex tenebrosa","edge + grass | dark"
dajgras smol,2,"Carex parva","edge + grass | small"
dajgras smol,2,"Carex parvula","edge + grass | small"
dajgras gond,2,"Carex rostrata","edge + grass | beaked"
dajgras gond,2,"Carex tenuirostrata","edge + grass | beak + provided with"
dajgras kolf,2,"Carex setigera","edge + grass | bristly"
dajgras kolf,2,"Carex setosa","edge + grass | bristle"
dajgras jufCoim,2,"Carex tatsiensis","edge + grass | strike + arrow"
dajgras jufCoim,2,"Carex paratatsiensis","edge + grass | like + strike + arrow"
dajgras xumzmant,2,"Carex tianmushanica","edge + grass | sky + mountain"
dajgras xumzmant,2,"Carex tianschanica","edge + grass | sky + mountain"
dajgras daft,2,"Carex vesicaria","edge + grass | bladder"
dajgras daft,2,"Carex vesicata","edge + grass | bladder"
cornkofk saibnuC,2,"Bambusa angustiaurita","thorn + bamboo | narrowly + eared"
cornkofk saibnuC,2,"Bambusa stenoaurita","thorn + bamboo | narrow + eared"
cornkofk horn,2,"Bambusa corniculata","thorn + bamboo | horned"
cornkofk horn,2,"Bambusa cornigera","thorn + bamboo | horned"
cornkofk hamp,2,"Bambusa gibba","thorn + bamboo | humped"
cornkofk hamp,2,"Bambusa gibboides","thorn + bamboo | humped"
cornkofk smolbamp,2,"Bambusa papillata","thorn + bamboo | mammillate"
cornkofk smolbamp,2,"Bambusa papillatoides","thorn + bamboo | mammillate"
cornkofk cibvetglorgej,2,"Bambusa pervariabilis","thorn + bamboo | through + variegated + able"
cornkofk cibvetglorgej,2,"Bambusa pervariabiloides","thorn + bamboo | through + variegated + able"
fuCkofk boqpikt,2,"Chimonobambusa sichuanensis","cold + bamboo | four + river"
fuCkofk boqpikt,2,"Chimonobambusa szechuanensis","cold + bamboo | four + river"
toktwut pugzkofk,2,"Dendrocalamus brandisii","tree + reed | sweet + bamboo"
toktwut pugzkofk,2,"Dendrocalamus hamiltonii","tree + reed | sweet + bamboo"
klaudgras loq,2,"Eragrostis brownii","cloud + grass | long"
klaudgras loq,2,"Eragrostis elongata","cloud + grass | prolonged"
klaudgras bul,2,"Eragrostis ferruginea","cloud + grass | black"
klaudgras bul,2,"Eragrostis nigra","cloud + grass | black"
Coimkofk nen,2,"Fargesia adpressa","arrow + bamboo | near"
Coimkofk nen,2,"Fargesia vicina","arrow + bamboo | near"
Coimkofk moq,2,"Fargesia circinata","arrow + bamboo | rounded"
Coimkofk moq,2,"Fargesia orbiculata","arrow + bamboo | rounded"
Coimkofk talk,2,"Fargesia concinna","arrow + bamboo | elegant"
Coimkofk talk,2,"Fargesia elegans","arrow + bamboo | elegant"
Coimkofk pin,2,"Fargesia porphyrea","arrow + bamboo | purple + named after"
Coimkofk pin,2,"Fargesia purpurea","arrow + bamboo | purple"
Coimkofk wod,2,"Fargesia sylvestris","arrow + bamboo | wooded"
Coimkofk wod,2,"Fargesia tenuilignea","arrow + bamboo | wood + named after"
holnaispgaf klaudlut,2,"Helictotrichon delavayi","Aegium + whole + veil + honor | cloud + south"
holnaispgaf klaudlut,2,"Helictotrichon yunnanense","Aegium + whole + veil + honor | cloud + south"
spredgren mej,2,"Panicum trichoides","spread + grain | hair"
spredgren mej,2,"Panicum capillare","spread + grain | capillary"
lifnuC bul,2,"Phyllostachys nigella","leaf + ear | black"
lifnuC bul,2,"Phyllostachys nigra","leaf + ear | black"
dazbgras mej,2,"Stipa capillacea","needle + grass | hairy"
dazbgras mej,2,"Stipa capillata","needle + grass | hairy"
smug djiv,2,"Lilium nanum","lily | dwarf"
smug djiv,2,"Lilium pumilum","lily | dwarf"
pugCufgumvont korlif,2,"Tulipa heteropetala","sweet smelling + gold + fragrant | other + leaf"
pugCufgumvont korlif,2,"Tulipa heterophylla","sweet smelling + gold + fragrant | other + leaf"
klun smol,2,"Hemerocallis dumortieri","martagon | small"
klun smol,2,"Hemerocallis minor","martagon | small"
zaic tubfaj,2,"Allium siphonanthum","onion | tube + flower"
zaic tubfaj,2,"Allium tubiflorum","onion | tube + flower"
graundfaj des,2,"Aspidistra carinata","ground + flower | Caria + daughter"
graundfaj des,2,"Aspidistra connata","ground + flower | daughter"
graundfaj loqlif,2,"Aspidistra longipetala","ground + flower | long + foil"
graundfaj loqlif,2,"Aspidistra oblongifolia","ground + flower | elongated + leaf"
graundfaj yul,2,"Aspidistra lurida","ground + flower | yellow"
graundfaj yul,2,"Aspidistra lutea","ground + flower | yellow"
hismosk klaudlut,2,"Ophiopogon tienensis","snake + beard | cloud + south"
hismosk klaudlut,2,"Ophiopogon yunnanensis","snake + beard | cloud + south"
swagfaj sliCralvgras,2,"Corydalis feddeana","spur + flower | sever + intestine + grass"
swagfaj sliCralvgras,2,"Corydalis foetida","spur + flower | sever + intestine + grass"
swagfaj zosp,2,"Corydalis flexuosa","spur + flower | crooked"
swagfaj zosp,2,"Corydalis hamata","spur + flower | crooked"
swagfaj bag,2,"Corydalis glaucissima","spur + flower | bluish + Vis + Himalaya"
swagfaj bag,2,"Corydalis livida","spur + flower | blue"
swagfaj vetlif,2,"Corydalis myriophylla","spur + flower | myriad + leaf"
swagfaj vetlif,2,"Corydalis polyphylla","spur + flower | many + leaf"
swagfaj djiv,2,"Corydalis nana","spur + flower | dwarf"
swagfaj djiv,2,"Corydalis pygmaea","spur + flower | dwarf"
swagfaj junt,2,"Corydalis rorida","spur + flower | dewy"
swagfaj junt,2,"Corydalis rostellata","spur + flower | dew + Earth"
swagfaj yaum,2,"Corydalis straminea","spur + flower | straw"
swagfaj yaum,2,"Corydalis stramineoides","spur + flower | straw + resembling"
leqkclgob wugpikt,2,"Meconopsis forrestii","length + appearance | beautiful + river"
leqkclgob wugpikt,2,"Meconopsis lijiangensis","length + appearance | beauty + river"
leqkclgob wug,2,"Meconopsis pulchella","length + appearance | beautiful"
leqkclgob wug,2,"Meconopsis bella","length + appearance | beautiful"
yulcorn spriq,2,"Berberis salicaria","yellow + thorn | springing + Caria"
yulcorn spriq,2,"Berberis vernalis","yellow + thorn | spring"
hudfaj kaigsudjkloc,2,"Aconitum kongboense","hood + flower | labor + cotton cloth"
hudfaj kaigsudjkloc,2,"Aconitum pseudokongboense","hood + flower | like + labor + cotton cloth"
hudfaj yin,2,"Aconitum kusnezoffii","hood + flower | north"
hudfaj yin,2,"Aconitum septentrionale","hood + flower | northern"
hudfaj himwigd,2,"Aconitum rockii","hood + flower | like + peaceful + decide"
hudfaj himwigd,2,"Aconitum tatsienense","hood + flower | peaceful + decide"
hudfaj standfuz,2,"Aconitum stylosoides","hood + flower | pillar"
hudfaj standfuz,2,"Aconitum stylosum","hood + flower | pillar"
vainbrantx lif,2,"Clematis lancifolia","vine branch | Lancia + leaf"
vainbrantx lif,2,"Clematis rubifolia","vine branch | Rubi + leaf"
gitfaxswag hornjiknal,2,"Delphinium ceratophoroides","larkspur | horn + to bear + resembling"
gitfaxswag hornjiknal,2,"Delphinium ceratophorum","larkspur | horn + to bear"
gitfaxswag saftlif,2,"Delphinium malacophyllum","larkspur | soft + leaf"
gitfaxswag saftlif,2,"Delphinium mollifolium","larkspur | soft + leaf"
gitfaxswag cikdadj,2,"Delphinium pachycentroides","larkspur | thick + spike"
gitfaxswag cikdadj,2,"Delphinium pachycentrum","larkspur | thick + spike"
gitfaxswag mejiknal,2,"Delphinium trichophoroides","larkspur | hair + to bear + resembling"
gitfaxswag mejiknal,2,"Delphinium trichophorum","larkspur | hair + to bear"
mindj naint,2,"Ranunculus triangularis","tadpole | triangular"
mindj naint,2,"Ranunculus trigonus","tadpole | triangular"
drep punlif,2,"Thalictrum ichangense","meadowrue | shield + leaf"
drep punlif,2,"Thalictrum pseudoichangense","meadowrue | like + shield + leaf"
drep guf,2,"Thalictrum tenue","meadowrue | fine"
drep guf,2,"Thalictrum tenuicaule","meadowrue | fine + stem"
varlif vetlif,2,"Argentina polyphylla","silver + leaf | many + leaf"
varlif vetlif,2,"Argentina polyphylloides","silver + leaf | many + leaf"
tenlif lofmej,2,"Potentilla acaulis","five + leaf | star + hair"
tenlif lofmej,2,"Potentilla asterotricha","five + leaf | starry + hair"
stonfrut lok,2,"Prunus cathayana","stone + fruit | collection"
stonfrut lok,2,"Prunus grayana","stone + fruit | Greek + collection"
stonfrut yismej,2,"Prunus hypotrichodes","stone + fruit | under + hair"
stonfrut yismej,2,"Prunus hypotricha","stone + fruit | under + hair"
stonfrut smoljent,2,"Prunus serrula","stone + fruit | small saw"
stonfrut smoljent,2,"Prunus serrulata","stone + fruit | small saw"
stonfrut kolf,2,"Prunus setulosa","stone + fruit | bristly"
stonfrut kolf,2,"Prunus tomentosa","stone + fruit | bristly"
stonfrut corn,2,"Prunus spinosa","stone + fruit | thorny"
stonfrut corn,2,"Prunus spinulosa","stone + fruit | thorny"
skex yul,2,"Rosa hugonis","rose | yellow"
skex yul,2,"Rosa xanthina","rose | yellow"
skex wupcorn,2,"Rosa platyacantha","rose | flat + thorn"
skex wupcorn,2,"Rosa sweginzowii","rose | flat + thorn"
hukmain leskllif,2,"Rubus fraxinifoliolus","hook + berry | ashen + leaf + praenomen"
hukmain leskllif,2,"Rubus fraxinifolius","hook + berry | ashen + leaf"
hukmain kolf,2,"Rubus hirsutus","hook + berry | bristly"
hukmain kolf,2,"Rubus multisetosus","hook + berry | plural + bristle"
hukmain yis,2,"Rubus subornatus","hook + berry | under + provided with"
hukmain yis,2,"Rubus subtibetanus","hook + berry | under + Tibet"
dandfrut klaudlut,2,"Sorbus griffithii","sorb | cloud + south"
dandfrut klaudlut,2,"Sorbus yunnanensis","sorb | cloud + south"
dandfrut bauflyin,2,"Sorbus hupehensis","sorb | lake + north"
dandfrut bauflyin,2,"Sorbus pseudohupehensis","sorb | like + lake + north"
fomfaj vantmej,2,"Spiraea velutina","foam + flower | silk + hair"
fomfaj vantmej,2,"Spiraea sericeoides","foam + flower | like + silk + hair"
yaqknaunsid loqlif,2,"Elaeagnus bockii","recklessly + ruined + seed | long + leaf"
yaqknaunsid loqlif,2,"Elaeagnus macrophylla","recklessly + ruined + seed | long + leaf"
yaqknaunsid wugldizb,2,"Elaeagnus formosana","recklessly + ruined + seed | beauty + island"
yaqknaunsid wugldizb,2,"Elaeagnus formosensis","recklessly + ruined + seed | beauty + island"
wothishemp mej,2,"Fatoua pilosa","water + snake + hemp | hairy"
wothishemp mej,2,"Fatoua villosa","water + snake + hemp | hairy"
kainfrut xeClif,2,"Ficus cardiophylla","hollow + fruit | heart + leaf"
kainfrut xeClif,2,"Ficus rumphii","hollow + fruit | heart + leaf"
kainfrut mej,2,"Ficus hirta","hollow + fruit | hairy"
kainfrut mej,2,"Ficus hispida","hollow + fruit | hairy"
kainfrut bolclif,2,"Ficus irisana","hollow + fruit | coarse + leaf"
kainfrut bolclif,2,"Ficus tsiangii","hollow + fruit | coarse + leaf"
pramCen cin,2,"Elatostema attenuatoides","ductile + then | thin"
pramCen cin,2,"Elatostema attenuatum","ductile + then | thin"
pramCen lif,2,"Elatostema bracteosum","ductile + then | foil"
pramCen lif,2,"Elatostema neriifolium","ductile + then | Celtici + leaf"
pramCen puxmoflif,2,"Elatostema cyrtandrifolioides","ductile + then | curved + male + leaf"
pramCen puxmoflif,2,"Elatostema cyrtandrifolium","ductile + then | curved + male + leaf"
pramCen zosp,2,"Elatostema flexuosum","ductile + then | crooked"
pramCen zosp,2,"Elatostema flexuosicaule","ductile + then | crooked + stem"
pramCen brantx,2,"Elatostema ramosum","ductile + then | branching"
pramCen brantx,2,"Elatostema scaposum","ductile + then | branch"
xim lif,2,"Pilea anisophylla","clear + stem | participle + leaf"
xim lif,2,"Pilea bracteosa","clear + stem | foil"
xim loqfrut,2,"Pilea dolichocarpa","clear + stem | long + fruit"
xim loqfrut,2,"Pilea macrocarpa","clear + stem | long + fruit"
stonsex lesk,2,"Lithocarpus cinereus","stone + produce | ashen"
stonsex lesk,2,"Lithocarpus henryi","stone + produce | ash"
stonsex ciklif,2,"Lithocarpus crassifolius","stone + produce | thick + leaf"
